"","year","numbers","Proportion"
"207","year2004","11",0.0277777777777778
"208","year2005","11",0.0185185185185185
"209","year2006","11",0.0401234567901235
"210","year1988","12",0.0339506172839506
"211","year1989","12",0.0216049382716049
"212","year1990","12",0.0277777777777778
"213","year1991","12",0.0308641975308642
"214","year1992","12",0.0216049382716049
"215","year1993","12",0.037037037037037
"216","year1994","12",0.0216049382716049
"217","year1995","12",0.0246913580246914
"218","year1996","12",0.0432098765432099
"219","year1997","12",0.0277777777777778
"220","year1998","12",0.037037037037037
"221","year1999","12",0.0185185185185185
"222","year2000","12",0.0308641975308642
"223","year2001","12",0.0277777777777778
"224","year2002","12",0.0154320987654321
"225","year2003","12",0.0154320987654321
"226","year2004","12",0.0216049382716049
"227","year2005","12",0.0185185185185185
"228","year2006","12",0.037037037037037
"229","year1988","13",0.0246913580246914
"230","year1989","13",0.0185185185185185
"231","year1990","13",0.0185185185185185
"232","year1991","13",0.0308641975308642
"233","year1992","13",0.0277777777777778
"234","year1993","13",0.0246913580246914
"235","year1994","13",0.0123456790123457
"236","year1995","13",0.0185185185185185
"237","year1996","13",0.037037037037037
"238","year1997","13",0.0216049382716049
"239","year1998","13",0.0277777777777778
"240","year1999","13",0.0401234567901235
"241","year2000","13",0.037037037037037
"242","year2001","13",0.0277777777777778
"243","year2002","13",0.037037037037037
"244","year2003","13",0.0308641975308642
"245","year2004","13",0.0246913580246914
"246","year2005","13",0.0216049382716049
"247","year2006","13",0.037037037037037
"248","year1988","14",0.0277777777777778
"249","year1989","14",0.037037037037037
"250","year1990","14",0.0277777777777778
"251","year1991","14",0.0154320987654321
"252","year1992","14",0.0246913580246914
"253","year1993","14",0.0308641975308642
"254","year1994","14",0.0308641975308642
"255","year1995","14",0.0185185185185185
"256","year1996","14",0.0277777777777778
"257","year1997","14",0.0246913580246914
"258","year1998","14",0.0246913580246914
"259","year1999","14",0.0154320987654321
"260","year2000","14",0.0123456790123457
"261","year2001","14",0.0185185185185185
"262","year2002","14",0.0339506172839506
"263","year2003","14",0.0339506172839506
"264","year2004","14",0.0185185185185185
"265","year2005","14",0.0216049382716049
"266","year2006","14",0.0216049382716049
"267","year1988","15",0.0216049382716049
"268","year1989","15",0.0154320987654321
"269","year1990","15",0.0216049382716049
"270","year1991","15",0.0308641975308642
"271","year1992","15",0.0246913580246914
"272","year1993","15",0.0277777777777778
"273","year1994","15",0.00925925925925926
"274","year1995","15",0.037037037037037
"275","year1996","15",0.0432098765432099
"276","year1997","15",0.0308641975308642
"277","year1998","15",0.0216049382716049
"278","year1999","15",0.0216049382716049
"279","year2000","15",0.0185185185185185
"280","year2001","15",0.0246913580246914
"281","year2002","15",0.0246913580246914
"282","year2003","15",0.0216049382716049
"283","year2004","15",0.0216049382716049
"284","year2005","15",0.0154320987654321
"285","year2006","15",0.0246913580246914
"286","year1988","16",0.0216049382716049
"287","year1989","16",0.0277777777777778
"288","year1990","16",0.0216049382716049
"289","year1991","16",0.0432098765432099
"290","year1992","16",0.0308641975308642
"291","year1993","16",0.0154320987654321
"292","year1994","16",0.0216049382716049
"293","year1995","16",0.0185185185185185
"294","year1996","16",0.0185185185185185
"295","year1997","16",0.0216049382716049
"296","year1998","16",0.0246913580246914
"297","year1999","16",0.0216049382716049
"298","year2000","16",0.0123456790123457
"299","year2001","16",0.0185185185185185
"300","year2002","16",0.0216049382716049
"301","year2003","16",0.0339506172839506
"302","year2004","16",0.0154320987654321
"303","year2005","16",0.0277777777777778
"304","year2006","16",0.0246913580246914
"305","year1988","17",0.0277777777777778
"306","year1989","17",0.0216049382716049
"307","year1990","17",0.0246913580246914
"308","year1991","17",0.0185185185185185
"309","year1992","17",0.037037037037037
"310","year1993","17",0.00925925925925926
"311","year1994","17",0.0308641975308642
"312","year1995","17",0.0185185185185185
"313","year1996","17",0.0154320987654321
"314","year1997","17",0.0246913580246914
"315","year1998","17",0.0185185185185185
"316","year1999","17",0.0123456790123457
"317","year2000","17",0.0246913580246914
"318","year2001","17",0.0185185185185185
"319","year2002","17",0.0123456790123457
"320","year2003","17",0.0246913580246914
"321","year2004","17",0.0154320987654321
"322","year2005","17",0.0216049382716049
"323","year2006","17",0.0308641975308642
"324","year1988","18",0.0123456790123457
"325","year1989","18",0.0401234567901235
"326","year1990","18",0.0555555555555556
"327","year1991","18",0.0185185185185185
"328","year1992","18",0.0154320987654321
"329","year1993","18",0.0185185185185185
"330","year1994","18",0.0185185185185185
"331","year1995","18",0.0185185185185185
"332","year1996","18",0.0216049382716049
"333","year1997","18",0.0246913580246914
"334","year1998","18",0.0432098765432099
"335","year1999","18",0.0185185185185185
"336","year2000","18",0.0246913580246914
"337","year2001","18",0.0216049382716049
"338","year2002","18",0.0246913580246914
"339","year2003","18",0.0185185185185185
"340","year2004","18",0.0216049382716049
"341","year2005","18",0.0277777777777778
"342","year2006","18",0.0154320987654321
"343","year1988","19",0.0185185185185185
"344","year1989","19",0.0277777777777778
"345","year1990","19",0.0185185185185185
"346","year1991","19",0.0123456790123457
"347","year1992","19",0.0216049382716049
"348","year1993","19",0.0246913580246914
"349","year1994","19",0.0246913580246914
"350","year1995","19",0.037037037037037
"351","year1996","19",0.0216049382716049
"352","year1997","19",0.0308641975308642
"353","year1998","19",0.0246913580246914
"354","year1999","19",0.0246913580246914
"355","year2000","19",0.0123456790123457
"356","year2001","19",0.0277777777777778
"357","year2002","19",0.0308641975308642
"358","year2003","19",0.037037037037037
"359","year2004","19",0.0339506172839506
"360","year2005","19",0.0277777777777778
"361","year2006","19",0.0246913580246914
"362","year1988","20",0.0277777777777778
"363","year1989","20",0.00925925925925926
"364","year1990","20",0.0185185185185185
"365","year1991","20",0.0185185185185185
"366","year1992","20",0.0277777777777778
"367","year1993","20",0.037037037037037
"368","year1994","20",0.0154320987654321
"369","year1995","20",0.0308641975308642
"370","year1996","20",0.0339506172839506
"371","year1997","20",0.037037037037037
"372","year1998","20",0.0154320987654321
"373","year1999","20",0.0277777777777778
"374","year2000","20",0.0216049382716049
"375","year2001","20",0.0216049382716049
"376","year2002","20",0.0308641975308642
"377","year2003","20",0.0154320987654321
"378","year2004","20",0.0246913580246914
"379","year2005","20",0.0339506172839506
"380","year2006","20",0.0246913580246914
"381","year1988","21",0.0246913580246914
"382","year1989","21",0.0277777777777778
"383","year1990","21",0.0246913580246914
"384","year1991","21",0.0216049382716049
"385","year1992","21",0.0185185185185185
"386","year1993","21",0.037037037037037
"387","year1994","21",0.0277777777777778
"388","year1995","21",0.037037037037037
"389","year1996","21",0.0246913580246914
"390","year1997","21",0.0216049382716049
"391","year1998","21",0.0185185185185185
"392","year1999","21",0.0401234567901235
"393","year2000","21",0.0154320987654321
"394","year2001","21",0.0154320987654321
"395","year2002","21",0.0277777777777778
"396","year2003","21",0.0185185185185185
"397","year2004","21",0.0401234567901235
"398","year2005","21",0.0339506172839506
"399","year2006","21",0.0339506172839506
"400","year1988","22",0.037037037037037
"401","year1989","22",0.0123456790123457
"402","year1990","22",0.0308641975308642
"403","year1991","22",0.0401234567901235
"404","year1992","22",0.0277777777777778
"405","year1993","22",0.0185185185185185
"406","year1994","22",0.0339506172839506
"407","year1995","22",0.0462962962962963
"408","year1996","22",0.0339506172839506
"409","year1997","22",0.0308641975308642
"410","year1998","22",0.0154320987654321
"411","year1999","22",0.0277777777777778
"412","year2000","22",0.0216049382716049
"413","year2001","22",0.00925925925925926
"414","year2002","22",0.0216049382716049
"415","year2003","22",0.0339506172839506
"416","year2004","22",0.00925925925925926
"417","year2005","22",0.0339506172839506
"418","year2006","22",0.0246913580246914
