"","year","numbers"
"742","year1990","10"
"743","year1990","40"
"744","year1990","15"
"745","year1990","8"
"746","year1990","25"
"747","year1990","38"
"748","year1990","24"
"749","year1990","9"
"750","year1990","17"
"751","year1990","22"
"752","year1990","26"
"753","year1990","10"
"754","year1990","40"
"755","year1990","36"
"756","year1990","35"
"757","year1990","25"
"758","year1990","35"
"759","year1990","5"
"760","year1990","12"
"761","year1990","4"
"762","year1990","14"
"763","year1990","18"
"764","year1990","35"
"765","year1990","13"
"766","year1990","20"
"767","year1990","25"
"768","year1990","27"
"769","year1990","8"
"770","year1990","29"
"771","year1990","21"
"772","year1990","37"
"773","year1990","34"
"774","year1990","24"
"775","year1990","11"
"776","year1990","27"
"777","year1990","22"
"778","year1990","35"
"779","year1990","29"
"780","year1990","19"
"781","year1990","26"
"782","year1990","28"
"783","year1990","39"
"784","year1990","36"
"785","year1990","25"
"786","year1990","17"
"787","year1990","8"
"788","year1990","22"
"789","year1990","4"
"790","year1990","18"
"791","year1990","10"
"792","year1990","21"
"793","year1990","4"
"794","year1990","29"
"795","year1990","7"
"796","year1990","37"
"797","year1990","18"
"798","year1990","9"
"799","year1990","40"
"800","year1990","10"
"801","year1990","20"
"802","year1990","38"
"803","year1990","33"
"804","year1990","36"
"805","year1990","29"
"806","year1990","31"
"807","year1990","28"
"808","year1990","40"
"809","year1990","38"
"810","year1990","2"
"811","year1990","10"
"812","year1990","33"
"813","year1990","14"
"814","year1990","2"
"815","year1990","24"
"816","year1990","7"
"817","year1990","24"
"818","year1990","29"
"819","year1990","6"
"820","year1990","7"
"821","year1990","35"
"822","year1990","22"
"823","year1990","22"
"824","year1990","18"
"825","year1990","12"
"826","year1990","15"
"827","year1990","27"
"828","year1990","20"
"829","year1990","17"
"830","year1990","10"
"831","year1990","31"
"832","year1990","4"
"833","year1990","23"
"834","year1990","5"
"835","year1990","31"
"836","year1990","35"
"837","year1990","33"
"838","year1990","12"
"839","year1990","28"
"840","year1990","8"
"841","year1990","3"
"842","year1990","11"
"843","year1990","25"
"844","year1990","26"
"845","year1990","35"
"846","year1990","38"
"847","year1990","4"
"848","year1990","40"
"849","year1990","21"
"850","year1990","6"
"851","year1990","33"
"852","year1990","16"
"853","year1990","26"
"854","year1990","28"
"855","year1990","12"
"856","year1990","17"
"857","year1990","22"
"858","year1990","7"
"859","year1990","14"
"860","year1990","37"
"861","year1990","8"
"862","year1990","36"
"863","year1990","1"
"864","year1990","10"
"865","year1990","34"
"866","year1990","37"
"867","year1990","3"
"868","year1990","16"
"869","year1990","18"
"870","year1990","2"
"871","year1990","24"
"872","year1990","7"
"873","year1990","4"
"874","year1990","35"
"875","year1990","18"
"876","year1990","29"
"877","year1990","32"
"878","year1990","19"
"879","year1990","18"
"880","year1990","4"
"881","year1990","28"
"882","year1990","6"
"883","year1990","8"
"884","year1990","40"
"885","year1990","27"
"886","year1990","30"
"887","year1990","37"
"888","year1990","12"
"889","year1990","35"
"890","year1990","13"
"891","year1990","21"
"892","year1990","16"
"893","year1990","22"
"894","year1990","30"
"895","year1990","1"
"896","year1990","18"
"897","year1990","29"
"898","year1990","40"
"899","year1990","25"
"900","year1990","7"
"901","year1990","31"
"902","year1990","13"
"903","year1990","4"
"904","year1990","16"
"905","year1990","2"
"906","year1990","8"
"907","year1990","12"
"908","year1990","32"
"909","year1990","35"
"910","year1990","14"
"911","year1990","33"
"912","year1990","36"
"913","year1990","23"
"914","year1990","19"
"915","year1990","6"
"916","year1990","13"
"917","year1990","38"
"918","year1990","8"
"919","year1990","21"
"920","year1990","26"
"921","year1990","11"
"922","year1990","33"
"923","year1990","2"
"924","year1990","35"
"925","year1990","12"
"926","year1990","5"
"927","year1990","8"
"928","year1990","26"
"929","year1990","16"
"930","year1990","1"
"931","year1990","25"
"932","year1990","39"
"933","year1990","21"
"934","year1990","13"
"935","year1990","31"
"936","year1990","37"
"937","year1990","39"
"938","year1990","18"
"939","year1990","40"
"940","year1990","32"
"941","year1990","3"
"942","year1990","2"
"943","year1990","22"
"944","year1990","11"
"945","year1990","8"
"946","year1990","3"
"947","year1990","12"
"948","year1990","19"
"949","year1990","5"
"950","year1990","35"
"951","year1990","26"
"952","year1990","25"
"953","year1990","30"
"954","year1990","17"
"955","year1990","1"
"956","year1990","27"
"957","year1990","13"
"958","year1990","19"
"959","year1990","3"
"960","year1990","6"
"961","year1990","35"
"962","year1990","26"
"963","year1990","15"
"964","year1990","6"
"965","year1990","11"
"966","year1990","18"
"967","year1990","4"
"968","year1990","26"
"969","year1990","3"
"970","year1990","20"
"971","year1990","15"
"972","year1990","18"
"973","year1991","25"
"974","year1991","5"
"975","year1991","1"
"976","year1991","13"
"977","year1991","21"
"978","year1991","10"
"979","year1991","10"
"980","year1991","5"
"981","year1991","1"
"982","year1991","16"
"983","year1991","40"
"984","year1991","38"
"985","year1991","16"
"986","year1991","37"
"987","year1991","29"
"988","year1991","24"
"989","year1991","3"
"990","year1991","10"
"991","year1991","39"
"992","year1991","33"
"993","year1991","27"
"994","year1991","20"
"995","year1991","30"
"996","year1991","17"
"997","year1991","20"
"998","year1991","6"
"999","year1991","19"
"1000","year1991","26"
"1001","year1991","8"
"1002","year1991","7"
"1003","year1991","15"
"1004","year1991","5"
"1005","year1991","36"
"1006","year1991","40"
"1007","year1991","32"
"1008","year1991","10"
"1009","year1991","13"
"1010","year1991","21"
"1011","year1991","22"
"1012","year1991","18"
"1013","year1991","27"
"1014","year1991","16"
"1015","year1991","28"
"1016","year1991","34"
"1017","year1991","5"
"1018","year1991","13"
"1019","year1991","15"
"1020","year1991","39"
"1021","year1991","22"
"1022","year1991","17"
"1023","year1991","7"
"1024","year1991","4"
"1025","year1991","40"
"1026","year1991","32"
"1027","year1991","7"
"1028","year1991","37"
"1029","year1991","22"
"1030","year1991","36"
"1031","year1991","11"
"1032","year1991","21"
"1033","year1991","11"
"1034","year1991","27"
"1035","year1991","12"
"1036","year1991","13"
"1037","year1991","8"
"1038","year1991","3"
"1039","year1991","34"
"1040","year1991","22"
"1041","year1991","30"
"1042","year1991","16"
"1043","year1991","11"
"1044","year1991","3"
"1045","year1991","6"
"1046","year1991","12"
"1047","year1991","1"
"1048","year1991","15"
"1049","year1991","35"
"1050","year1991","36"
"1051","year1991","36"
"1052","year1991","12"
"1053","year1991","7"
"1054","year1991","11"
"1055","year1991","26"
"1056","year1991","14"
"1057","year1991","17"
"1058","year1991","27"
"1059","year1991","21"
"1060","year1991","40"
"1061","year1991","12"
"1062","year1991","23"
"1063","year1991","2"
"1064","year1991","25"
"1065","year1991","26"
"1066","year1991","4"
"1067","year1991","36"
"1068","year1991","39"
"1069","year1991","10"
"1070","year1991","27"
"1071","year1991","37"
"1072","year1991","7"
"1073","year1991","34"
"1074","year1991","12"
"1075","year1991","29"
"1076","year1991","34"
"1077","year1991","36"
"1078","year1991","25"
"1079","year1991","7"
"1080","year1991","16"
"1081","year1991","20"
"1082","year1991","7"
"1083","year1991","17"
"1084","year1991","28"
"1085","year1991","5"
"1086","year1991","39"
"1087","year1991","31"
"1088","year1991","1"
"1089","year1991","8"
"1090","year1991","30"
"1091","year1991","29"
"1092","year1991","12"
"1093","year1991","16"
"1094","year1991","27"
"1095","year1991","29"
"1096","year1991","2"
"1097","year1991","6"
"1098","year1991","12"
